"Column1","_1","Name","Comment","Rating"
"1","","miguelb_r","Y debemos estar agradecidos de estar en el 26 , deberíamos estar en realidad en el 40","Neutro"
"2","","elangeldelmisterio","Por bestias, gracias a Reynoso!!!","Negativo"
"3","","angelitals29","Novedad","Neutro"
"4","","diegoobregon01","que lo defienda @pedroelinternacional","Neutro"
"5","","lablanco_ch","Por qué será?ja!","Neutro"
"6","","giancarlorocka","Ese Ranking no sirve pero ni pa ir ñoba.  Pero igual seguiran bajando con ese cuerpo tecnico y con esa actitud de algunos jugadores. Saludos.","Negativo"
"7","","cesarjjs_20","Merecido xd","Neutro"
"8","","fernandoesqboy","Es más que ya ni jueguen xd","Neutro"
"9","","anthoniobc1981","Gracias Reynoso!!","Positivo"
"10","","djulca","Agradescanle al entrenador sin ideas","Negativo"
"11","","vnavarro_20","Claro con el entrenador k tenemos nos vamos ala fondo","Negativo"
"12","","ricardo_dioses","Ta bien 👏","Positivo"
"13","","aladinoherediarojas","Y seguirá cayendo...😂","Negativo"
"14","","patriciavargasr","“La era Reynoso” 🙃🤢🤮🤬","Neutro"
"15","","fihmisaid","Gracias Reynoso ahí se ven los resultados","Positivo"
"16","","hayelidenis","Vuelve garecaaaaa","Neutro"
"17","","nickeannaa","Wer zeigt? Zeige auch 👅🔥","Neutro"
"18","","vi.ba_j","Ahora gana 6 puntos y sube otra vez... Gente basura","Negativo"
"19","","jessmeliss","@fernandoesqboy 🥲💔","Neutro"
"20","","fernandoesqboy","@jessmeliss 😢","Neutro"
"21","","francoo.jpg","Durante 36 años parábamos en el puesto 10 u 11 Justo al lado de Venezuela o Bolivia, así que un raya más al tigre xD no hay problem","Neutro"
"22","","utath23","Por culpa de lazo o y esa porquería de Reynoso","Negativo"
"23","","fercasva","Equipo chico.","Neutro"
"24","","andyvemc","No sacarán a Reynoso, mejor mirar hacia otros lados... El Perú NO SOLO es fútbol, apoyemos a otros atletas que nos traen alegría y orgullo, además de sentirnos contentos por el triunfo de la candidata peruana de belleza... somos de Perú, país bello y multidisciplinario❤️","Neutro"
"25","","sebasalv99","Ranking insignificante","Negativo"
"26","","jose9296perez","@andyvemc la que dijo que perú era un estado.  La que dijo que no le debe nada al público","Neutro"
"27","","markovb16","Con reynos0 al mando va seguir cayendo, oblitas tan ciego es para respaldarle","Negativo"
"28","","jujromero","Hasta el día de hoy no entiendo, de veras creen que debíamos de ganarle a Chile y Argentina? Con Chile estábamos de visita, con Argentina  que es la mejor selección de Sudamérica y la nacional está aún en formación con muchos veteranos creíamos que íbamos  a ganar? Hasta hoy dentro de los cuatro partidos los resultados son los que se sabía que deberían ser a excepción de Paraguay al que le sacamos un empate de visita, dicho sea de paso buen resultado. Que Perú juega mal? Si, que debió de ganar sus partidos, no la aspiración contra Brasil y Argentina era a lo mucho no perder con goleada y tentar el empate y esto todos lo saben, en fin...","Positivo"
"29","","jersonrl98","RPP pusieron Ricardo Gareca en vez de Reynoso 😂","Neutro"
"30","","_jorgermz","Y que querían, avanzar? Es normal","Negativo"
"31","","valdavem","Una comentario muy obvio","Neutro"
"32","","cripo3108","Es Reynoso, no Ricardo Gareca. Estás regateando con los redactores creo","Negativo"
"33","","francisumarcelor","Que sigan cayendo para que asi renuncie Agustin Lozano!","Negativo"
"34","","josevelasquezdiaz","Y eso que falta con bolivia y Venezuela!! 🙂 y todo gracias a @juanreynoso.dt &nepto 👏🏼👏🏼👏🏼👏🏼 gracias por no largarte de la selección","Negativo"
"35","","thiag_contreras","Y seguirá cayendo más porque en la fecha de noviembre  venezuela le pasará por encima","Negativo"
"36","","florezjeff","Y seguirá bajando 😂","Negativo"
"37","","roberto.fabian","Gracias @juanreynoso.dt! Un cariñoso saludo para tu mamá.","Positivo"
"38","","dorixin_hobbies","Es difícil pensar que no hay jóvenes deportistas que jueguen el fútbol con deseos de progresar.  Mientras no se le dé oportunidad a los que de verdad quieren jugar sucederá lo de siempre.  Y si a eso le añadimos la mala propaganda que le hacen a la Selección peruana relacionándolo con los “chamanes” … pues ya estamos más que fritos.","Negativo"
"39","","tav0pm","Es normal no sé cuál es la sorpresa, teniendo el técnico actual con las carencias de ideas de juego que tiene estamos de mal en peor, para colmo estamos más cerca de no ir al mundial con la cantidad de cupos que da está eliminatoria 🤦🏻‍♂️ Gracias Reynoso por el desastre que estás haciendo","Negativo"
"40","","guibara2010","Por malos! Pechos frios! Por no sudar la camiseta- y por perder ante Australia 😂😂😂😂😂- alucinan estos si no le ganamos a nadie- que venga Bolivia para que alucinen mas!!!!","Negativo"
"41","","andyvemc","Los futbolistas no hacen mucha diferencia @jose9296perez ... miremos a otro lado🤷🏻‍♀️","Neutro"
